ID_CLIENT	INN	NAME
7771756001883	6581059845	WXPFDQ
5835613988348	3211764647	VCYLAG
7029341434208	1739921113	UPZIPF
1309116181590	2879849400	IMVKTV
4076053083534	5779709784	OCGKTM
4061419452762	5787762049	DLCVVI
3888849901185	4387541157	JJYZHH
6149484617433	4691071097	MDYMTR
5344779681937	1160782664	WGQDRP
3147925453782	0290271991	OHNQQN
5315120626375	0934137748	EUOKFL
1504776973636	8580960492	VXKQOT
2645470240503	7123117752	GTIWUF
4529868893600	8464580902	IVZITL
5539597644958	6133874085	OWESFK
2837689832926	6705527674	VVDUIQ
6510332787439	4940955916	FDJFHG
5750961567821	8164410539	XTTUJY
5309974762577	7424446757	GNVQEZ
7609001817465	3179029519	HLSEBW
4599930926379	2034217713	UDOXOQ
7597075243331	2611931207	KUFZHM
5700400531221	7997336924	WOILNI
4487235116149	2120045299	IDAQNT
8593918497927	9872688210	PACVUY
3886073000510	8754864917	DRSYND
9372675676616	7743362088	SFBJXQ
8916686286573	6357833456	YEGYUI
9749497659281	4970580948	GTVJME
5611911773283	1845379490	QKHKMB
6667302615437	3815698066	OOTQBD
5636066742992	2029812407	BVVBJA
9931803038951	8122561472	CDHFKO
6149166754611	339836035200	KLPHRP
6222897474835	925929274051	PXSUKR
5969432075630	352470152932	QEWXOA
7890351938209	565476724238	JUXLFQ
2957703450963	226457514910	LDDJMQ
9527297486081	127367827100	IMVEMU
8418022101319	141464922966	KMDHRX
9785551655592	745643345730	LMQLRP
9119046145976	107428961174	QIWBOI
6715355977496	459797763596	NQFRCA
5204684483370	071086331207	RTGSFF
5362837090185	334433729045	XGXXKJ
1916634235399	137175390694	RQRMGY
6484464478746	145363944441	JUHXCJ
4602269100714	579601554699	IZGYOX
2342076343592	900399860887	DUDHJI
7639100342470	898920213969	NNIDLQ
7683841999205	441822854493	UQWKQA
6424220625909	950868863368	YBUEGU
7114051205242	018184587217	VIKAYM
5628190431290	780797148923	DMAXQU
8049285627006	701167026567	HAZTRQ
9012026812392	875075907294	FBKNGA
6382974792867	147860679878	WESIMD
6200126884806	196733777359	WRBDCD
8353101595244	227660566320	QKZUZW
3620684949186	935385810914	AOXRVC
8367303765835	753819483659	EJFKUX
1227907787756	197553400466	PFCJKL
6878398319718	583468035279	MUBMJL
6963954309122	306173632952	FKWWPK
7388112103683	837934663463	WADYZF
